DEMANDA *;DES_SOLICITACAO;COD_ABRANGENCIA;DES_ABRANGENCIA;COD_ELEMENTO;DES_ELEMENTO;COD_CONSUMIDOR;DES_ENDERECO;NOM_BAIRRO;COD_EQUIPE;DES_EQUIPE;DES_EQUIPE_EXEC;COD_SITUACAO;DES_SITUACAO;DES_ANDAMENTO_EXEC;COD_OCORRENCIA;DES_OCORRENCIA;DAT_INICIO;DAT_VENCIMENTO;DES_USUARIO;DES_RISCO;FLG_CONFERIDA;DES_INSTRUCAO;DES_OBSERVACAO_RETAGUARDA;DAT_ATUALIZACAO;
1997196;1 / ELÉTRICA - CORRETIVA;172;RESIDENCIAL FRATERNIDADE II;2;PTB-377;<Null>;PROFESSORA CLELIA CERIBELLI DE ASSIS FERREIRA, ;RESIDENCIAL DA FRATERNIDADE 2;5;Elétrica;<Null>;1;CANCELADO;<Null>;<Null>;<Null>;06/04/2023 11:29;13/04/2023;JHFIGUEIREDO;<Null>;Não-sem flag;Disjuntor da CPFL está desarmando com frequência.;<Null>;07/08/2024 00:00;
1997201;1 / ELÉTRICA - CORRETIVA;151;EUROPARK;1;REL;<Null>;ALBERTO FURLAN, ;LOTEAMENTO EUROPARK;5;Elétrica;<Null>;1;CANCELADO;<Null>;<Null>;<Null>;06/04/2023 11:31;13/04/2023;JHFIGUEIREDO;<Null>;Não-sem flag;"Equipe Elétrica:

Substituir Sensor de nivel do REL.";<Null>;07/08/2024 00:00;
2035413;1 / ELÉTRICA - CORRETIVA;4;URANO;1;PTB-005;<Null>;CENTENÁRIO, S/N - ENFT AO 1514;JARDIM URANO;5;Elétrica;<Null>;1;CANCELADO;<Null>;<Null>;<Null>;24/07/2023 11:33;31/07/2023;MSALVADOR;<Null>;Não-sem flag;INSTALAR CHAVE LIGA/DESLIGA DA PROTEÇÃO DE SUCÇÃODAS BRS E IDENTIFICAR COM ETIQUETAS.;<Null>;07/08/2024 00:00;
2060173;1 / MECÂNICA - CORRETIVA;1;ESTAÇÃO DE TRATAMENTO DE ÁGUA;1;GERAL;<Null>;SÃO PAULO, 2231;JARDIM DOS SEIXAS;6;Mecânica;56 Vector - Equipe Mecânica - Igor Liso / Danilo Castro;35;EXECUÇÃO INICIADA;DESLOCAMENTO, EM EXECUÇÃO, SUSPENSO, DESLOCAMENTO, EM EXECUÇÃO, SUSPENSO, DESLOCAMENTO, EM EXECUÇÃO, SUSPENSO, DESLOCAMENTO, EM EXECUÇÃO;<Null>;<Null>;20/09/2023 10:54;27/09/2023;JHFIGUEIREDO;<Null>;Não-sem flag;Solicita equipe para verificar conjunto girante do tanque 3 de cal da ETA.;"Foi verificado e foi constatado que a bucha do batedor do cal havia danificado feito a substituição da mesma feito os testes ficando ok
material vector 
01 tarugo ny 200mm;";07/08/2024 08:00;
2084703;1 / MECÂNICA - CORRETIVA;56;SÃO JUDAS TADEU;1;GERAL;<Null>;CASABLANCA, 277;VILA SÃO JUDAS TADEU;6;Mecânica;56 Vector - Equipe Mecânica - João Vitor / André Felipe;39;SUSPENSA;<Null>;<Null>;<Null>;27/11/2023 14:11;04/12/2023;JHFIGUEIREDO;<Null>;Não-sem flag;"Mecânica:
Confecção e instalação de Pórtico para movimento de cargas dentro da casa de máquinas.";<Null>;07/08/2024 08:00;
2103145;1 / ELÉTRICA - CORRETIVA;56;SÃO JUDAS TADEU;1;GERAL;<Null>;CASABLANCA, 277;VILA SÃO JUDAS TADEU;5;Elétrica;56 Vector - Equipe Elétrica - Leandro / Vitor;39;SUSPENSA;<Null>;<Null>;<Null>;16/01/2024 15:00;23/01/2024;MSALVADOR;<Null>;Não-sem flag;"Equipe elétrica:
-Revisar aterramento dos paineis;
-E instalar DPS classe lll nos seguintes locais:
      - Alimentação do Fieldlogger;
      - Barramento RS485;
      - Ethernet;
      - Entradas analógicas e digitais que estiverem ligadas no FielLogger.
Obs: o DPS para o barramento RS485 encontra-se disponível no almoxarifado, os demais precisam ser adiquiridos.
Dúvidas entrar em contato com Letícia (17)996791988 ou Rafael (17)991483597.";<Null>;07/08/2024 08:00;
2112510;1 / MECÂNICA - CORRETIVA;25;CRISTO REI;1;GERAL;<Null>;JOSÉ ROSSI, S/N - PRÓX AO CRISTO REI;MINIDISTRITO INDUSTRIAL TANCREDO NEVES;6;Mecânica;56 Vector - Equipe Mecânica - Igor Liso / Danilo Castro;39;SUSPENSA;<Null>;<Null>;<Null>;06/02/2024 16:14;13/02/2024;MSALVADOR;<Null>;Não-sem flag;"INSTALAR MANONACUOMETRO NA SANGRIA DO RESERVAT´RIO SEMI ENTERRADO.

OBS: PROCURAR CARLOS DA MECÂNICA.";<Null>;07/08/2024 08:00;
2117602;1 / ELÉTRICA - CORRETIVA;131;RESIDENCIAL LEALDADE;1;GERAL;<Null>;AUGUSTO DA SILVA,  - ESQ. PROJETADA 23;LOTEAMENTO RESIDENCIAL DA LEALDADE;5;Elétrica;56 Vector - Equipe Elétrica - Leandro / Vitor;39;SUSPENSA;<Null>;<Null>;<Null>;20/02/2024 13:12;27/02/2024;MSALVADOR;<Null>;Não-sem flag;"""Equipe elétrica:
-Revisar aterramento dos paineis;
-E instalar DPS classe lll nos seguintes locais:
      - Alimentação do Fieldlogger;
      - Barramento RS485;
      - Ethernet;
      - Entradas analógicas e digitais que estiverem ligadas no FielLogger.""

OBS : Em caso de Dúvidas , Ligar 17-99148-3597 / 99107-2669";<Null>;07/08/2024 08:00;
2124514;1 / MECÂNICA - CORRETIVA;27;VIVENDAS;1;GERAL;<Null>;BENEDITO RODRIGUES LISBOA, s/n;JARDIM BOSQUE DAS VIVENDAS;6;Mecânica;56 Vector - Equipe Mecânica - Igor Liso / Danilo Castro;-39;DUPLICIDADE SUSPENSA;<Null>;<Null>;<Null>;07/03/2024 08:46;14/03/2024;JHFIGUEIREDO;<Null>;Não-sem flag;"Mecânica:
Iniciar instalação dos novos conjuntos moto bombas do sistema Vivendas.

Aguardar plano de intervenção.";<Null>;07/08/2024 08:00;
2128935;1 / MECÂNICA - CORRETIVA;88;CAETANO;1;GERAL;<Null>;EUCLIDES MARTINS, S/N;RESIDENCIAL CAETANO;6;Mecânica;56 Vector - Equipe Mecânica - João Vitor / André Felipe;20;ENVIADA;DESLOCAMENTO, EM EXECUÇÃO, SUSPENSO, DESLOCAMENTO, EM EXECUÇÃO;<Null>;<Null>;15/03/2024 12:14;22/03/2024;JHFIGUEIREDO;<Null>;Não-sem flag;Executar rede para ligar o reservatorio enterado ao metalico pela sangria  do enterado conforme desenho em anexo.;<Null>;07/08/2024 08:00;
