PTB;BAIRRO;Rota; lat ;long
1; ESTAÇÃO DE TRATAMENTO DE ÁGUA;https://www.google.pt/maps?q=-20.808392,-49.3747641;-20,808392;-49,3747641
2; BOA VISTA;https://www.google.pt/maps?q=-20.805129,-49.3909335;-20,805129;-49,3909335
3; MACENO;https://www.google.pt/maps?q=-20.801037,-49.3681399;-20,801037;-49,3681399
4; DINIZ;https://www.google.pt/maps?q=-20.820714,-49.3707661;-20,820714;-49,3707661
5; URANO;https://www.google.pt/maps?q=-20.829738,-49.3727532;-20,829738;-49,3727532
6; JAGUARÉ;https://www.google.pt/maps?q=-20.7769,-49.3671067;-20,7769;-49,3671067
7; ACLIMAÇÃO;https://www.google.pt/maps?q=-20.843853,-49.403531;-20,843853;-49,403531
8; PARAISO;https://www.google.pt/maps?q=-20.7814,-49.388203;-20,7814;-49,388203
9; TALHADOS;https://www.google.pt/maps?q=-20.708545,-49.2938092;-20,708545;-49,2938092
10; TERASJ;https://www.google.pt/maps?q=-20.741603,-49.32062;-20,741603;-49,32062
11; COSTA DO SOL;https://www.google.pt/maps?q=-20.786244,-49.3911651;-20,786244;-49,3911651
12; SEYON;https://www.google.pt/maps?q=-20.777078,-49.3676494;-20,777078;-49,3676494
13; CHÁCARA MUNICIPAL;https://www.google.pt/maps?q=-20.833117,-49.3975798;-20,833117;-49,3975798
14; HIGIENÓPOLIS;https://www.google.pt/maps?q=-20.841008,-49.3845415;-20,841008;-49,3845415
15; ALTO RIO PRETO;https://www.google.pt/maps?q=-20.818907,-49.4065756;-20,818907;-49,4065756
16; MARACANÃ;https://www.google.pt/maps?q=-20.826147,-49.4149991;-20,826147;-49,4149991
17; ACLIMAÇÃO;https://www.google.pt/maps?q=-20.843391,-49.4063172;-20,843391;-49,4063172
18; URANO;https://www.google.pt/maps?q=-20.834219,-49.3778287;-20,834219;-49,3778287
19; URANO;https://www.google.pt/maps?q=-20.836437,-49.3777888;-20,836437;-49,3777888
20; VILA TONINHO;https://www.google.pt/maps?q=-20.847954,-49.3425444;-20,847954;-49,3425444
21; TANGARÁ;https://www.google.pt/maps?q=-20.840351,-49.3775887;-20,840351;-49,3775887
22; SÃO FRANCISCO;https://www.google.pt/maps?q=-20.848735,-49.3861332;-20,848735;-49,3861332
23; YOLANDA;https://www.google.pt/maps?q=-20.801978,-49.347907;-20,801978;-49,347907
24; SÃO JUDAS TADEU;https://www.google.pt/maps?q=-20.816189,-49.3575103;-20,816189;-49,3575103
25; ELMAZ;https://www.google.pt/maps?q=-20.768694,-49.3714089;-20,768694;-49,3714089
26; SÃO JUDAS TADEU;https://www.google.pt/maps?q=-20.81778,-49.3578808;-20,81778;-49,3578808
27; VIVENDAS;https://www.google.pt/maps?q=-20.847771,-49.4006111;-20,847771;-49,4006111
28; CHÁCARA MUNICIPAL;https://www.google.pt/maps?q=-20.833899,-49.4002129;-20,833899;-49,4002129
29; REDENTORA;https://www.google.pt/maps?q=-20.821795,-49.3911892;-20,821795;-49,3911892
30; CLEMENTINA;https://www.google.pt/maps?q=-20.772633,-49.3725264;-20,772633;-49,3725264
31; ELDORADO;https://www.google.pt/maps?q=-20.781257,-49.4042339;-20,781257;-49,4042339
33; ELDORADO;https://www.google.pt/maps?q=-20.782774,-49.4020135;-20,782774;-49,4020135
34; ACLIMAÇÃO;https://www.google.pt/maps?q=-20.838527,-49.4039914;-20,838527;-49,4039914
35; CASTELINHO;https://www.google.pt/maps?q=-20.777993,-49.364846;-20,777993;-49,364846
38; CECAP;https://www.google.pt/maps?q=-20.792697,-49.4186445;-20,792697;-49,4186445
39; CECAP;https://www.google.pt/maps?q=-20.793128,-49.4175532;-20,793128;-49,4175532
40; SOLO PINHEIRO;https://www.google.pt/maps?q=-20.779463,-49.4106956;-20,779463;-49,4106956
41; SOLO PINHEIRO;https://www.google.pt/maps?q=-20.779992,-49.4081474;-20,779992;-49,4081474
42; SEYON;https://www.google.pt/maps?q=-20.77798,-49.3679071;-20,77798;-49,3679071
43; SOLO PINHEIRO;https://www.google.pt/maps?q=-20.779103,-49.4089981;-20,779103;-49,4089981
44; CIDADE JARDIM;https://www.google.pt/maps?q=-20.841752,-49.368835;-20,841752;-49,368835
45; SÃO DEOCLECIANO;https://www.google.pt/maps?q=-20.794322,-49.3455556;-20,794322;-49,3455556
46; ELDORADO;https://www.google.pt/maps?q=-20.78147,-49.3992776;-20,78147;-49,3992776
48; SOLO PINHEIRO;https://www.google.pt/maps?q=-20.77744,-49.4083886;-20,77744;-49,4083886
49; CASTELINHO;https://www.google.pt/maps?q=-20.775131,-49.361423;-20,775131;-49,361423
50; MARIA LÚCIA;https://www.google.pt/maps?q=-20.767672,-49.4114397;-20,767672;-49,4114397
51; MARIA LÚCIA;https://www.google.pt/maps?q=-20.768293,-49.4127096;-20,768293;-49,4127096
52; MANÇOUR DAUD;https://www.google.pt/maps?q=-20.827955,-49.3604628;-20,827955;-49,3604628
53; SOLO SAGRADO II;https://www.google.pt/maps?q=-20.779709,-49.4223061;-20,779709;-49,4223061
54; ROMANO CALIL;https://www.google.pt/maps?q=-20.828949,-49.3573477;-20,828949;-49,3573477
57; SÃO FRANCISCO;https://www.google.pt/maps?q=-20.848987,-49.3850592;-20,848987;-49,3850592
59; CIDADE DAS CRIANÇAS;https://www.google.pt/maps?q=-20.816797,-49.420079;-20,816797;-49,420079
60; ALTO RIO PRETO;https://www.google.pt/maps?q=-20.821033,-49.4092957;-20,821033;-49,4092957
61; CIDADE JARDIM;https://www.google.pt/maps?q=-20.842079,-49.3664899;-20,842079;-49,3664899
62; SÃO FRANCISCO;https://www.google.pt/maps?q=-20.847991,-49.385579;-20,847991;-49,385579
63; SÃO JOSÉ DO RIO PRETO I;https://www.google.pt/maps?q=-20.762069,-49.3614867;-20,762069;-49,3614867
64; SÃO JOSÉ DO RIO PRETO I;https://www.google.pt/maps?q=-20.759669,-49.3609291;-20,759669;-49,3609291
65; RENATA TARRAF;https://www.google.pt/maps?q=-20.795656,-49.4039804;-20,795656;-49,4039804
66; SANTO ANTÔNIO;https://www.google.pt/maps?q=-20.764101,-49.392575;-20,764101;-49,392575
67; ENGENHEIRO SCHIMIDT;https://www.google.pt/maps?q=-20.869471,-49.3070863;-20,869471;-49,3070863
68; MORUMBI;https://www.google.pt/maps?q=-20.83692,-49.3972887;-20,83692;-49,3972887
69; SOLO SAGRADO II;https://www.google.pt/maps?q=-20.777066,-49.4214897;-20,777066;-49,4214897
70; MACEDO TELES I;https://www.google.pt/maps?q=-20.801457,-49.4215246;-20,801457;-49,4215246
71; ELDORADO;https://www.google.pt/maps?q=-20.785053,-49.4027952;-20,785053;-49,4027952
72; CHÁCARA MUNICIPAL;https://www.google.pt/maps?q=-20.830437,-49.3947626;-20,830437;-49,3947626
73; CIDADE JARDIM;https://www.google.pt/maps?q=-20.843399,-49.36911;-20,843399;-49,36911
75; PARQUE DAS FLORES I;https://www.google.pt/maps?q=-20.77636,-49.3701869;-20,77636;-49,3701869
76; SÃO DEOCLECIANO;https://www.google.pt/maps?q=-20.794229,-49.3473206;-20,794229;-49,3473206
77; SANTA ROSA II;https://www.google.pt/maps?q=-20.78218,-49.3647464;-20,78218;-49,3647464
78; VIVENDAS;https://www.google.pt/maps?q=-20.843986,-49.4006422;-20,843986;-49,4006422
81; MARIA LÚCIA;https://www.google.pt/maps?q=-20.772522,-49.4128345;-20,772522;-49,4128345
83; ALTO RIO PRETO;https://www.google.pt/maps?q=-20.819641,-49.4081833;-20,819641;-49,4081833
84; PLANALTO;https://www.google.pt/maps?q=-20.763723,-49.38837;-20,763723;-49,38837
85; SÃO MARCOS;https://www.google.pt/maps?q=-20.835199,-49.3612515;-20,835199;-49,3612515
87; ALTO ALEGRE;https://www.google.pt/maps?q=-20.791151,-49.3589564;-20,791151;-49,3589564
88; SANTO ANTÔNIO;https://www.google.pt/maps?q=-20.764033,-49.3961638;-20,764033;-49,3961638
90; SANTO ANTÔNIO;https://www.google.pt/maps?q=-20.765597,-49.393365;-20,765597;-49,393365
92; SIMÕES;https://www.google.pt/maps?q=-20.768797,-49.3848581;-20,768797;-49,3848581
94; ELMAZ;https://www.google.pt/maps?q=-20.767946,-49.3735554;-20,767946;-49,3735554
95; MARIA LÚCIA;https://www.google.pt/maps?q=-20.770414,-49.4097879;-20,770414;-49,4097879
96; HIGIENÓPOLIS;https://www.google.pt/maps?q=-20.839315,-49.3840445;-20,839315;-49,3840445
97; HIGIENÓPOLIS;https://www.google.pt/maps?q=-20.840703,-49.3853212;-20,840703;-49,3853212
100; URANO;https://www.google.pt/maps?q=-20.834641,-49.3753625;-20,834641;-49,3753625
101; URANO;https://www.google.pt/maps?q=-20.830599,-49.372067;-20,830599;-49,372067
102; URANO;https://www.google.pt/maps?q=-20.827606,-49.3668806;-20,827606;-49,3668806
103; URANO;https://www.google.pt/maps?q=-20.835134,-49.3758828;-20,835134;-49,3758828
104; URANO;https://www.google.pt/maps?q=-20.828926,-49.3694999;-20,828926;-49,3694999
105; SANTA ROSA I;https://www.google.pt/maps?q=-20.783673,-49.3671211;-20,783673;-49,3671211
106; MANÇOUR DAUD;https://www.google.pt/maps?q=-20.828803,-49.3617214;-20,828803;-49,3617214
107; JOÃO PAULO II;https://www.google.pt/maps?q=-20.775721,-49.3636221;-20,775721;-49,3636221
108; SOLO SAGRADO POÇÃO;https://www.google.pt/maps?q=-20.775228,-49.4183351;-20,775228;-49,4183351
109; SÃO DEOCLECIANO;https://www.google.pt/maps?q=-20.795149,-49.3457821;-20,795149;-49,3457821
110; ENGENHEIRO SCHIMIDT;https://www.google.pt/maps?q=-20.866497,-49.3079794;-20,866497;-49,3079794
111; CHFELI;https://www.google.pt/maps?q=-20.790916,-49.418535;-20,790916;-49,418535
112; CECAP;https://www.google.pt/maps?q=-20.790916,-49.418535;-20,790916;-49,418535
113; PINHEIRINHO;https://www.google.pt/maps?q=-20.833,-49.403383;-20,833;-49,403383
115; ANTONIETA;https://www.google.pt/maps?q=-20.796267,-49.4329628;-20,796267;-49,4329628
116; GABRIELA;https://www.google.pt/maps?q=-20.789046,-49.4302099;-20,789046;-49,4302099
118; TARRAF II;https://www.google.pt/maps?q=-20.837013,-49.4182135;-20,837013;-49,4182135
120; TARRAF II;https://www.google.pt/maps?q=-20.837688,-49.4187225;-20,837688;-49,4187225
121; SÃO JOSÉ DO RIO PRETO F/G;https://www.google.pt/maps?q=-20.75911,-49.3817928;-20,75911;-49,3817928
122; CRISTO REI;https://www.google.pt/maps?q=-20.835289,-49.3544176;-20,835289;-49,3544176
123; SÃO JOSÉ DO RIO PRETO F/G;https://www.google.pt/maps?q=-20.759673,-49.3802683;-20,759673;-49,3802683
124; CRISTO REI;https://www.google.pt/maps?q=-20.83469,-49.3543582;-20,83469;-49,3543582
125; MACEDO TELES I;https://www.google.pt/maps?q=-20.801816,-49.4217075;-20,801816;-49,4217075
126; VIVENDAS;https://www.google.pt/maps?q=-20.845297,-49.3977695;-20,845297;-49,3977695
127; ROMANO CALIL;https://www.google.pt/maps?q=-20.827502,-49.3572494;-20,827502;-49,3572494
128; SÃO DEOCLECIANO;https://www.google.pt/maps?q=-20.794119,-49.3445671;-20,794119;-49,3445671
129; ANDORINHAS;https://www.google.pt/maps?q=-20.769482,-49.392368;-20,769482;-49,392368
130; CAIC;https://www.google.pt/maps?q=-20.825081,-49.3530765;-20,825081;-49,3530765
131; ENGENHEIRO SCHIMIDT;https://www.google.pt/maps?q=-20.868633,-49.3074747;-20,868633;-49,3074747
132; SÃO DEOCLECIANO;https://www.google.pt/maps?q=-20.791329,-49.3441174;-20,791329;-49,3441174
133; MONTE VERDE;https://www.google.pt/maps?q=-20.787584,-49.4322846;-20,787584;-49,4322846
134; VILA TONINHO;https://www.google.pt/maps?q=-20.847843,-49.3410099;-20,847843;-49,3410099
136; SÃO MARCOS;https://www.google.pt/maps?q=-20.837065,-49.3624323;-20,837065;-49,3624323
137; VILA TONINHO;https://www.google.pt/maps?q=-20.845369,-49.3445369;-20,845369;-49,3445369
138; PARQUE DA CIDADANIA I;https://www.google.pt/maps?q=-20.752135,-49.4060401;-20,752135;-49,4060401
139; CAIC;https://www.google.pt/maps?q=-20.823806,-49.3547248;-20,823806;-49,3547248
140; CIDADE JARDIM;https://www.google.pt/maps?q=-20.841191,-49.3679192;-20,841191;-49,3679192
141; MARACANÃ;https://www.google.pt/maps?q=-20.825893,-49.4105668;-20,825893;-49,4105668
142; ALTO RIO PRETO;https://www.google.pt/maps?q=-20.817063,-49.404769;-20,817063;-49,404769
143; MOISES MIGUEL HADDAD;https://www.google.pt/maps?q=-20.857734,-49.4084059;-20,857734;-49,4084059
144; VILA TONINHO;https://www.google.pt/maps?q=-20.843108,-49.3448135;-20,843108;-49,3448135
145; FELICIDADE;https://www.google.pt/maps?q=-20.755196,-49.3568564;-20,755196;-49,3568564
146; CRISTO REI;https://www.google.pt/maps?q=-20.835729,-49.3533601;-20,835729;-49,3533601
147; YOLANDA;https://www.google.pt/maps?q=-20.805551,-49.3474322;-20,805551;-49,3474322
148; ANTONIETA;https://www.google.pt/maps?q=-20.796635,-49.4312224;-20,796635;-49,4312224
149; JURITI;https://www.google.pt/maps?q=-20.770318,-49.3841584;-20,770318;-49,3841584
150; NATO VETORAZZO;https://www.google.pt/maps?q=-20.788303,-49.4415019;-20,788303;-49,4415019
151; CECAP;https://www.google.pt/maps?q=-20.792929,-49.4208517;-20,792929;-49,4208517
153; VIENA;https://www.google.pt/maps?q=-20.84935,-49.3838449;-20,84935;-49,3838449
154; CAIC;https://www.google.pt/maps?q=-20.82526,-49.3541651;-20,82526;-49,3541651
155; VILA TONINHO;https://www.google.pt/maps?q=-20.851429,-49.3398961;-20,851429;-49,3398961
156; MANOEL DEL'ARCO;https://www.google.pt/maps?q=-20.76645,-49.3932745;-20,76645;-49,3932745
157; SÃO DEOCLECIANO;https://www.google.pt/maps?q=-20.791503,-49.3402388;-20,791503;-49,3402388
158; SÃO MIGUEL;https://www.google.pt/maps?q=-20.799727,-49.3483542;-20,799727;-49,3483542
159; SÃO JOSÉ DO RIO PRETO F/G;https://www.google.pt/maps?q=-20.758559,-49.378027;-20,758559;-49,378027
160; NUNES;https://www.google.pt/maps?q=-20.749263,-49.3847568;-20,749263;-49,3847568
161; NUNES;https://www.google.pt/maps?q=-20.751612,-49.3834118;-20,751612;-49,3834118
163; GISETE;https://www.google.pt/maps?q=-20.785581,-49.4197981;-20,785581;-49,4197981
164; CRISTO REI;https://www.google.pt/maps?q=-20.833319,-49.3518425;-20,833319;-49,3518425
165; NATO VETORAZZO;https://www.google.pt/maps?q=-20.789959,-49.4422323;-20,789959;-49,4422323
166; COLORADO;https://www.google.pt/maps?q=-20.769683,-49.4141489;-20,769683;-49,4141489
167; PARQUE DA CIDADANIA II;https://www.google.pt/maps?q=-20.746835,-49.4094217;-20,746835;-49,4094217
168; NATO VETORAZZO;https://www.google.pt/maps?q=-20.78795,-49.4398667;-20,78795;-49,4398667
169; AROEIRA I;https://www.google.pt/maps?q=-20.784051,-49.4340242;-20,784051;-49,4340242
174; JARDIM SHIMIDT;https://www.google.pt/maps?q=-20.863753,-49.3057999;-20,863753;-49,3057999
175; MARAMBAIA;https://www.google.pt/maps?q=-20.793965,-49.3528389;-20,793965;-49,3528389
176; UNIVERSO;https://www.google.pt/maps?q=-20.783122,-49.4192556;-20,783122;-49,4192556
177; UNIVERSO;https://www.google.pt/maps?q=-20.783937,-49.4160833;-20,783937;-49,4160833
178; ASTÚRIAS;https://www.google.pt/maps?q=-20.781735,-49.4194056;-20,781735;-49,4194056
179; ASTÚRIAS;https://www.google.pt/maps?q=-20.782533,-49.4137949;-20,782533;-49,4137949
180; NATO VETORAZZO;https://www.google.pt/maps?q=-20.790704,-49.4387712;-20,790704;-49,4387712
183; ARROYO I;https://www.google.pt/maps?q=-20.763303,-49.4032098;-20,763303;-49,4032098
184; ARROYO II;https://www.google.pt/maps?q=-20.76802,-49.4072996;-20,76802;-49,4072996
185; SÃO JOSÉ DO RIO PRETO I;https://www.google.pt/maps?q=-20.758225,-49.3593545;-20,758225;-49,3593545
